St. Louis Cardinals (8), Arizona D'Backs (2)
Boston Red Sox (11), Atlanta Braves (4)
Milwaukee Brewers (3), Chicago Cubs (4)
Pittsburgh Pirates (9), Colorado Rockies (4)
Oakland Athletics (5), Detroit Tigers (1)
Miami Marlins (6), Los Angeles Dodgers (3)
Cleveland Indians (5), Minnesota Twins (6)
Cincinnati Reds (3), New York Mets (4)
Houston Astros (1), Seattle Mariners (11)
San Diego Padres (0), San Francisco Giants (1)
Baltimore Orioles (1), Tampa Bay Rays (3)
New York Yankees (1), Texas Rangers (10)
Chicago White Sox (10), Toronto Blue Jays (1)
Philadelphia Phillies (4), Washington Nationals (3)
Kansas City Royals (2), LA Angels of Anaheim (4)
St. Louis Cardinals (11), Arizona D'Backs (4)
Atlanta Braves (4), Boston Red Sox (9)
Pittsburgh Pirates (9), Colorado Rockies (8)
Oakland Athletics (4), Detroit Tigers (9)
Miami Marlins (2), Los Angeles Dodgers (0)
Cleveland Indians (6), Minnesota Twins (5)
Cincinnati Reds (2), New York Mets (5)
Houston Astros (7), Seattle Mariners (4)
San Diego Padres (9), San Francisco Giants (13)
Baltimore Orioles (3), Tampa Bay Rays (1)
New York Yankees (2), Texas Rangers (3)
Chicago White Sox (4), Toronto Blue Jays (0)
Philadelphia Phillies (3), Washington Nationals (0)
St. Louis Cardinals (0), Arizona D'Backs (3)
Chicago White Sox (2), Baltimore Orioles (10)
Atlanta Braves (5), Boston Red Sox (3)
Milwaukee Brewers (2), Chicago Cubs (7)
Oakland Athletics (3), Detroit Tigers (7)
Miami Marlins (5), Los Angeles Dodgers (3)
Philadelphia Phillies (3), Washington Nationals (0)
Colorado Rockies (9), Arizona D'Backs (0)
Chicago White Sox (3), Baltimore Orioles (6)
New York Yankees (2), Boston Red Sox (4)
Atlanta Braves (1), Chicago Cubs (6)
San Diego Padres (5), Los Angeles Dodgers (1)
Miami Marlins (6), Milwaukee Brewers (3)
Detroit Tigers (9), Minnesota Twins (2)
San Francisco Giants (1), New York Mets (13)
Houston Astros (4), Oakland Athletics (7)
Cleveland Indians (3), Philadelphia Phillies (4)
Cincinnati Reds (1), Pittsburgh Pirates (4)
Kansas City Royals (0), Seattle Mariners (1)
Washington Nationals (5), St. Louis Cardinals (4)
Toronto Blue Jays (6), Tampa Bay Rays (1)
LA Angels of Anaheim (2), Texas Rangers (4)
Colorado Rockies (5), Arizona D'Backs (2)
Chicago White Sox (8), Baltimore Orioles (7)
New York Yankees (0), Boston Red Sox (8)
San Diego Padres (5), Los Angeles Dodgers (2)
Miami Marlins (7), Milwaukee Brewers (5)
Detroit Tigers (4), Minnesota Twins (1)
