Chicago Cubs (3), New York Mets (4)
San Francisco Giants (12), Oakland Athletics (6)
Baltimore Orioles (3), Seattle Mariners (5)
Kansas City Royals (4), St. Louis Cardinals (2)
Detroit Tigers (10), Tampa Bay Rays (7)
Cleveland Indians (4), Toronto Blue Jays (1)
Cincinnati Reds (4), Washington Nationals (13)
San Francisco Giants (6), Arizona D'Backs (4)
Miami Marlins (7), Atlanta Braves (5)
LA Angels of Anaheim (4), Boston Red Sox (5)
Chicago White Sox (0), Houston Astros (5)
Colorado Rockies (0), Los Angeles Dodgers (5)
Texas Rangers (3), Minnesota Twins (2)
Chicago Cubs (2), New York Mets (10)
Pittsburgh Pirates (7), Oakland Athletics (3)
Kansas City Royals (3), Philadelphia Phillies (4)
New York Yankees (6), San Diego Padres (7)
Baltimore Orioles (2), Seattle Mariners (5)
Milwaukee Brewers (1), St. Louis Cardinals (7)
Detroit Tigers (10), Tampa Bay Rays (2)
Cleveland Indians (2), Toronto Blue Jays (1)
Cincinnati Reds (2), Washington Nationals (3)
San Francisco Giants (5), Arizona D'Backs (6)
Miami Marlins (1), Atlanta Braves (9)
LA Angels of Anaheim (21), Boston Red Sox (2)
Chicago White Sox (7), Houston Astros (6)
Colorado Rockies (1), Los Angeles Dodgers (6)
Texas Rangers (5), Minnesota Twins (17)
Chicago Cubs (3), New York Mets (4)
Pittsburgh Pirates (4), Oakland Athletics (2)
Kansas City Royals (6), Philadelphia Phillies (2)
New York Yankees (1), San Diego Padres (2)
Baltimore Orioles (6), Seattle Mariners (12)
Milwaukee Brewers (0), St. Louis Cardinals (3)
Detroit Tigers (3), Tampa Bay Rays (2)
Cleveland Indians (6), Toronto Blue Jays (9)
Cincinnati Reds (9), Washington Nationals (4)
San Francisco Giants (5), Arizona D'Backs (4)
Miami Marlins (5), Atlanta Braves (2)
LA Angels of Anaheim (5), Boston Red Sox (10)
Chicago White Sox (4), Houston Astros (1)
Colorado Rockies (1), Los Angeles Dodgers (4)
Texas Rangers (4), Minnesota Twins (5)
Chicago Cubs (3), New York Mets (14)
Pittsburgh Pirates (6), Oakland Athletics (3)
Kansas City Royals (2), Philadelphia Phillies (7)
New York Yankees (6), San Diego Padres (3)
Baltimore Orioles (4), Seattle Mariners (9)
Milwaukee Brewers (8), St. Louis Cardinals (9)
Detroit Tigers (5), Tampa Bay Rays (1)
Cleveland Indians (1), Toronto Blue Jays (17)
Cincinnati Reds (1), Washington Nationals (12)
San Diego Padres (8), Arizona D'Backs (4)
Texas Rangers (5), Boston Red Sox (12)
New York Yankees (2), Chicago White Sox (8)
Cincinnati Reds (4), Chicago Cubs (10)
Detroit Tigers (3), Cleveland Indians (5)
Seattle Mariners (1), Houston Astros (2)
Baltimore Orioles (5), Los Angeles Dodgers (7)
Oakland Athletics (3), Minnesota Twins (1)
Miami Marlins (6), New York Mets (8)
Atlanta Braves (2), Philadelphia Phillies (8)
Colorado Rockies (1), San Francisco Giants (3)
Pittsburgh Pirates (4), St. Louis Cardinals (2)
LA Angels of Anaheim (2), Tampa Bay Rays (4)
Kansas City Royals (2), Toronto Blue Jays (6)
Milwaukee Brewers (1), Washington Nationals (0)
San Diego Padres (5), Arizona D'Backs (7)
Texas Rangers (7), Boston Red Sox (2)
New York Yankees (9), Chicago White Sox (0)
Cincinnati Reds (9), Chicago Cubs (5)
Detroit Tigers (1), Cleveland Indians (12)
Seattle Mariners (2), Houston Astros (5)
Baltimore Orioles (4), Los Angeles Dodgers (1)
Oakland Athletics (4), Minnesota Twins (11)
Miami Marlins (5), New York Mets (2)
Atlanta Braves (1), Philadelphia Phillies (5)
Colorado Rockies (7), San Francisco Giants (3)
Pittsburgh Pirates (5), St. Louis Cardinals (2)
LA Angels of Anaheim (13), Tampa Bay Rays (5)
Kansas City Royals (3), Toronto Blue Jays (8)
Milwaukee Brewers (5), Washington Nationals (2)
San Diego Padres (13), Arizona D'Backs (6)
Texas Rangers (6), Boston Red Sox (11)
New York Yankees (0), Chicago White Sox (5)
Cincinnati Reds (5), Chicago Cubs (3)
Detroit Tigers (12), Cleveland Indians (2)
Seattle Mariners (8), Houston Astros (9)
Baltimore Orioles (6), Los Angeles Dodgers (4)
Oakland Athletics (0), Minnesota Twins (4)
Miami Marlins (2), New York Mets (4)
Atlanta Braves (3), Philadelphia Phillies (4)
Colorado Rockies (1), San Francisco Giants (5)
Pittsburgh Pirates (7), St. Louis Cardinals (5)
LA Angels of Anaheim (7), Tampa Bay Rays (2)
Kansas City Royals (2), Toronto Blue Jays (4)
Milwaukee Brewers (4), Washington Nationals (7)
Atlanta Braves (4), Chicago Cubs (3)
New York Yankees (5), Cleveland Indians (4)
Philadelphia Phillies (2), Colorado Rockies (11)
Oakland Athletics (3), Houston Astros (1)
Seattle Mariners (3), Kansas City Royals (4)
San Diego Padres (6), Los Angeles Dodgers (0)
Washington Nationals (7), New York Mets (9)
Pittsburgh Pirates (1), St. Louis Cardinals (5)
LA Angels of Anaheim (5), Tampa Bay Rays (1)
Minnesota Twins (10), Texas Rangers (1)
Detroit Tigers (4), Toronto Blue Jays (5)
LA Angels of Anaheim (9), Baltimore Orioles (5)
Tampa Bay Rays (5), Boston Red Sox (6)
Atlanta Braves (11), Chicago White Sox (8)
New York Yankees (2), Cleveland Indians (10)
Philadelphia Phillies (5), Colorado Rockies (3)
Oakland Athletics (9), Houston Astros (10)
Seattle Mariners (3), Kansas City Royals (2)
San Diego Padres (6), Los Angeles Dodgers (10)
Cincinnati Reds (1), Miami Marlins (3)
St. Louis Cardinals (3), Milwaukee Brewers (4)
Washington Nationals (3), New York Mets (1)
Chicago Cubs (4), Pittsburgh Pirates (8)
Arizona D'Backs (2), San Francisco Giants (6)
Minnesota Twins (5), Texas Rangers (6)
Detroit Tigers (0), Toronto Blue Jays (6)
LA Angels of Anaheim (2), Baltimore Orioles (3)
Tampa Bay Rays (1), Boston Red Sox (4)
Atlanta Braves (4), Chicago White Sox (5)
New York Yankees (7), Cleveland Indians (6)
Philadelphia Phillies (3), Colorado Rockies (8)
Oakland Athletics (3), Houston Astros (2)
Seattle Mariners (3), Kansas City Royals (5)
San Diego Padres (3), Los Angeles Dodgers (4)
Cincinnati Reds (2), Miami Marlins (4)
St. Louis Cardinals (8), Milwaukee Brewers (1)
Washington Nationals (6), New York Mets (1)
Chicago Cubs (6), Pittsburgh Pirates (12)
Arizona D'Backs (2), San Francisco Giants (4)
Minnesota Twins (8), Texas Rangers (6)
Detroit Tigers (3), Toronto Blue Jays (2)
LA Angels of Anaheim (2), Baltimore Orioles (4)
Tampa Bay Rays (0), Boston Red Sox (4)
Atlanta Braves (2), Chicago White Sox (0)
New York Yankees (11), Cleveland Indians (7)
Philadelphia Phillies (10), Colorado Rockies (3)
Oakland Athletics (1), Houston Astros (2)
Seattle Mariners (8), Kansas City Royals (5)
San Diego Padres (1), Los Angeles Dodgers (3)
Cincinnati Reds (3), Miami Marlins (7)
St. Louis Cardinals (5), Milwaukee Brewers (1)
Washington Nationals (3), New York Mets (2)
Chicago Cubs (6), Pittsburgh Pirates (5)
Arizona D'Backs (0), San Francisco Giants (4)
Minnesota Twins (15), Texas Rangers (5)
Detroit Tigers (1), Toronto Blue Jays (6)
Chicago White Sox (0), LA Angels of Anaheim (7)
Los Angeles Dodgers (13), Arizona D'Backs (7)
Colorado Rockies (11), Atlanta Braves (2)
Texas Rangers (0), Chicago Cubs (6)
Milwaukee Brewers (4), Cincinnati Reds (5)
Kansas City Royals (2), Detroit Tigers (4)
Cleveland Indians (5), Minnesota Twins (2)
Boston Red Sox (5), New York Yankees (3)
Toronto Blue Jays (7), Oakland Athletics (8)
New York Mets (5), Philadelphia Phillies (3)
San Francisco Giants (1), San Diego Padres (4)
Houston Astros (7), Seattle Mariners (3)
Miami Marlins (7), St. Louis Cardinals (6)
Baltimore Orioles (4), Tampa Bay Rays (3)
Pittsburgh Pirates (1), Washington Nationals (5)
Chicago White Sox (0), LA Angels of Anaheim (1)
Los Angeles Dodgers (1), Arizona D'Backs (2)
Colorado Rockies (4), Atlanta Braves (3)
Texas Rangers (1), Chicago Cubs (3)
Milwaukee Brewers (9), Cincinnati Reds (1)
Kansas City Royals (8), Detroit Tigers (4)
Cleveland Indians (4), Minnesota Twins (5)
Boston Red Sox (5), New York Yankees (2)
Toronto Blue Jays (4), Oakland Athletics (5)
New York Mets (2), Philadelphia Phillies (4)
San Francisco Giants (6), San Diego Padres (7)
Houston Astros (0), Seattle Mariners (1)
Miami Marlins (0), St. Louis Cardinals (5)
Baltimore Orioles (2), Tampa Bay Rays (1)
Pittsburgh Pirates (0), Washington Nationals (6)
Chicago White Sox (1), LA Angels of Anaheim (8)
Los Angeles Dodgers (5), Arizona D'Backs (6)
Colorado Rockies (0), Atlanta Braves (1)
Texas Rangers (4), Chicago Cubs (1)
Milwaukee Brewers (0), Cincinnati Reds (1)
Kansas City Royals (2), Detroit Tigers (4)
Cleveland Indians (6), Minnesota Twins (1)
Boston Red Sox (1), New York Yankees (3)
Toronto Blue Jays (5), Oakland Athletics (3)
New York Mets (5), Philadelphia Phillies (0)
San Francisco Giants (3), San Diego Padres (5)
Houston Astros (8), Seattle Mariners (1)
Miami Marlins (6), St. Louis Cardinals (3)
Baltimore Orioles (2), Tampa Bay Rays (5)
Pittsburgh Pirates (2), Washington Nationals (1)
Texas Rangers (5), LA Angels of Anaheim (9)
New York Mets (1), Chicago Cubs (5)
Atlanta Braves (2), Cincinnati Reds (8)
Tampa Bay Rays (4), Colorado Rockies (7)
Minnesota Twins (0), Detroit Tigers (1)
Cleveland Indians (3), Kansas City Royals (7)
Baltimore Orioles (1), New York Yankees (2)
Houston Astros (4), Oakland Athletics (7)
Miami Marlins (3), Philadelphia Phillies (2)
Chicago White Sox (3), Seattle Mariners (4)
San Diego Padres (2), St. Louis Cardinals (10)
Texas Rangers (6), LA Angels of Anaheim (8)
Toronto Blue Jays (5), Arizona D'Backs (1)
San Francisco Giants (0), Boston Red Sox (4)
New York Mets (2), Chicago Cubs (1)
Atlanta Braves (5), Cincinnati Reds (4)
Tampa Bay Rays (10), Colorado Rockies (1)
Minnesota Twins (6), Detroit Tigers (2)
Cleveland Indians (7), Kansas City Royals (3)
Baltimore Orioles (1), New York Yankees (7)
Houston Astros (3), Oakland Athletics (4)
Miami Marlins (2), Philadelphia Phillies (1)
Milwaukee Brewers (2), Pittsburgh Pirates (3)
Chicago White Sox (6), Seattle Mariners (1)
Los Angeles Dodgers (8), Washington Nationals (4)
Texas Rangers (4), LA Angels of Anaheim (7)
Toronto Blue Jays (10), Arizona D'Backs (4)
San Francisco Giants (7), Boston Red Sox (11)
New York Mets (2), Chicago Cubs (6)
Atlanta Braves (3), Cincinnati Reds (6)
Tampa Bay Rays (11), Colorado Rockies (3)
Minnesota Twins (4), Detroit Tigers (1)
Cleveland Indians (11), Kansas City Royals (4)
Baltimore Orioles (0), New York Yankees (5)
Houston Astros (7), Oakland Athletics (0)
Miami Marlins (1), Philadelphia Phillies (4)
Milwaukee Brewers (9), Pittsburgh Pirates (5)
Chicago White Sox (5), Seattle Mariners (6)
San Diego Padres (2), St. Louis Cardinals (4)
San Diego Padres (2), St. Louis Cardinals (3)
Los Angeles Dodgers (1), Washington Nationals (8)
Minnesota Twins (2), Boston Red Sox (13)
Detroit Tigers (2), Chicago White Sox (1)
Atlanta Braves (3), Colorado Rockies (7)
Baltimore Orioles (4), New York Yankees (1)
Tampa Bay Rays (7), Oakland Athletics (3)
Miami Marlins (9), Philadelphia Phillies (3)
Milwaukee Brewers (3), Pittsburgh Pirates (5)
San Diego Padres (5), St. Louis Cardinals (6)
Los Angeles Dodgers (6), Washington Nationals (3)
Cleveland Indians (1), Baltimore Orioles (5)
Minnesota Twins (2), Boston Red Sox (1)
Detroit Tigers (7), Chicago White Sox (5)
Arizona D'Backs (2), Cincinnati Reds (6)
Atlanta Braves (3), Colorado Rockies (4)
LA Angels of Anaheim (1), Houston Astros (2)
Texas Rangers (1), Kansas City Royals (3)
New York Mets (5), Miami Marlins (3)
Chicago Cubs (5), Milwaukee Brewers (2)
San Francisco Giants (2), New York Yankees (3)
Tampa Bay Rays (0), Oakland Athletics (1)
Philadelphia Phillies (4), Pittsburgh Pirates (0)
Los Angeles Dodgers (3), St. Louis Cardinals (4)
Seattle Mariners (2), Toronto Blue Jays (1)
San Diego Padres (5), Washington Nationals (3)
Cleveland Indians (2), Baltimore Orioles (5)
Minnesota Twins (11), Boston Red Sox (9)
Detroit Tigers (3), Chicago White Sox (4)
Arizona D'Backs (1), Cincinnati Reds (6)
Atlanta Braves (4), Colorado Rockies (8)
LA Angels of Anaheim (2), Houston Astros (7)
Texas Rangers (7), Kansas City Royals (4)
New York Mets (2), Miami Marlins (7)
Chicago Cubs (1), Milwaukee Brewers (6)
San Francisco Giants (2), New York Yankees (1)
Tampa Bay Rays (3), Oakland Athletics (4)
Philadelphia Phillies (4), Pittsburgh Pirates (7)
Los Angeles Dodgers (7), St. Louis Cardinals (2)
Seattle Mariners (14), Toronto Blue Jays (5)
San Diego Padres (2), Washington Nationals (3)
Cleveland Indians (3), Baltimore Orioles (5)
Minnesota Twins (7), Boston Red Sox (8)
Detroit Tigers (4), Chicago White Sox (5)
Arizona D'Backs (9), Cincinnati Reds (8)
Atlanta Braves (2), Colorado Rockies (7)
LA Angels of Anaheim (3), Houston Astros (13)
Texas Rangers (2), Kansas City Royals (1)
New York Mets (3), Miami Marlins (0)
Chicago Cubs (6), Milwaukee Brewers (5)
San Francisco Giants (2), New York Yankees (5)
Tampa Bay Rays (2), Oakland Athletics (3)
Philadelphia Phillies (4), Pittsburgh Pirates (5)
Los Angeles Dodgers (9), St. Louis Cardinals (6)
Seattle Mariners (0), Toronto Blue Jays (2)
San Diego Padres (10), Washington Nationals (6)
Colorado Rockies (2), Baltimore Orioles (3)
Detroit Tigers (4), Boston Red Sox (2)
Chicago Cubs (4), Chicago White Sox (5)
New York Yankees (2), Houston Astros (1)
LA Angels of Anaheim (6), Kansas City Royals (2)
Philadelphia Phillies (4), Miami Marlins (0)
Arizona D'Backs (2), Milwaukee Brewers (7)
Cincinnati Reds (7), San Francisco Giants (5)
Oakland Athletics (6), Texas Rangers (7)
San Diego Padres (2), Toronto Blue Jays (4)
Colorado Rockies (6), Baltimore Orioles (3)
Detroit Tigers (9), Boston Red Sox (8)
Chicago Cubs (0), Chicago White Sox (3)
Washington Nationals (6), Cleveland Indians (7)
New York Yankees (6), Houston Astros (3)
LA Angels of Anaheim (13), Kansas City Royals (0)
Tampa Bay Rays (2), Los Angeles Dodgers (3)
Philadelphia Phillies (0), Miami Marlins (5)
Arizona D'Backs (4), Milwaukee Brewers (9)
Atlanta Braves (2), Minnesota Twins (0)
St. Louis Cardinals (3), New York Mets (2)
St. Louis Cardinals (1), New York Mets (3)
Seattle Mariners (7), Pittsburgh Pirates (4)
Cincinnati Reds (7), San Francisco Giants (9)
Oakland Athletics (6), Texas Rangers (3)
San Diego Padres (6), Toronto Blue Jays (7)
Colorado Rockies (3), Baltimore Orioles (1)
Detroit Tigers (4), Boston Red Sox (3)
Chicago White Sox (1), Chicago Cubs (8)
Washington Nationals (4), Cleveland Indians (1)
New York Yankees (1), Houston Astros (4)
LA Angels of Anaheim (5), Kansas City Royals (7)
Tampa Bay Rays (3), Los Angeles Dodgers (1)
Philadelphia Phillies (1), Miami Marlins (11)
Arizona D'Backs (8), Milwaukee Brewers (1)
Atlanta Braves (9), Minnesota Twins (7)
St. Louis Cardinals (5), New York Mets (4)
Seattle Mariners (1), Pittsburgh Pirates (10)
Cincinnati Reds (2), San Francisco Giants (1)
Oakland Athletics (6), Texas Rangers (4)
San Diego Padres (8), Toronto Blue Jays (4)
Boston Red Sox (1), LA Angels of Anaheim (2)
Philadelphia Phillies (7), Atlanta Braves (5)
Chicago White Sox (1), Chicago Cubs (3)
St. Louis Cardinals (5), Miami Marlins (4)
Arizona D'Backs (4), Milwaukee Brewers (6)
Baltimore Orioles (2), Minnesota Twins (6)
Colorado Rockies (2), New York Mets (1)
Washington Nationals (4), San Francisco Giants (2)
Kansas City Royals (2), Texas Rangers (3)
Boston Red Sox (6), LA Angels of Anaheim (2)
Philadelphia Phillies (1), Atlanta Braves (2)
Seattle Mariners (1), Chicago Cubs (12)
Oakland Athletics (3), Cleveland Indians (5)
Houston Astros (6), Detroit Tigers (14)
Arizona D'Backs (7), Los Angeles Dodgers (9)
St. Louis Cardinals (11), Miami Marlins (6)
Pittsburgh Pirates (1), Milwaukee Brewers (3)
Chicago White Sox (1), Minnesota Twins (2)
Colorado Rockies (6), New York Mets (1)
Cincinnati Reds (6), San Diego Padres (0)
Washington Nationals (4), San Francisco Giants (1)
New York Yankees (1), Tampa Bay Rays (5)
Kansas City Royals (3), Texas Rangers (8)
Baltimore Orioles (5), Toronto Blue Jays (6)
Boston Red Sox (2), LA Angels of Anaheim (5)
Philadelphia Phillies (9), Atlanta Braves (5)
Seattle Mariners (4), Chicago Cubs (1)
Oakland Athletics (3), Cleveland Indians (6)
Houston Astros (2), Detroit Tigers (3)
Arizona D'Backs (4), Los Angeles Dodgers (2)
St. Louis Cardinals (0), Miami Marlins (11)
Pittsburgh Pirates (3), Milwaukee Brewers (5)
Chicago White Sox (6), Minnesota Twins (5)
Colorado Rockies (7), New York Mets (2)
Cincinnati Reds (1), San Diego Padres (2)
Washington Nationals (3), San Francisco Giants (5)
New York Yankees (3), Tampa Bay Rays (6)
Kansas City Royals (1), Texas Rangers (2)
Baltimore Orioles (1), Toronto Blue Jays (9)
Boston Red Sox (5), LA Angels of Anaheim (3)
Philadelphia Phillies (1), Atlanta Braves (2)
Seattle Mariners (6), Chicago Cubs (7)
Oakland Athletics (0), Cleveland Indians (8)
Houston Astros (0), Detroit Tigers (11)
Arizona D'Backs (3), Los Angeles Dodgers (14)
St. Louis Cardinals (4), Miami Marlins (5)
Pittsburgh Pirates (2), Milwaukee Brewers (4)
Chicago White Sox (4), Minnesota Twins (6)
Colorado Rockies (4), New York Mets (6)
Cincinnati Reds (3), San Diego Padres (2)
Washington Nationals (1), San Francisco Giants (3)
New York Yankees (3), Tampa Bay Rays (5)
Kansas City Royals (3), Texas Rangers (5)
Baltimore Orioles (6), Toronto Blue Jays (2)
Washington Nationals (14), Arizona D'Backs (1)
Miami Marlins (0), Chicago Cubs (5)
Minnesota Twins (12), Cleveland Indians (5)
Toronto Blue Jays (1), Houston Astros (2)
New York Yankees (6), New York Mets (5)
Milwaukee Brewers (3), San Diego Padres (7)
Boston Red Sox (2), Seattle Mariners (1)
Kansas City Royals (3), Tampa Bay Rays (0)
Oakland Athletics (4), LA Angels of Anaheim (5)
Washington Nationals (10), Arizona D'Backs (4)
Pittsburgh Pirates (5), Atlanta Braves (3)
Texas Rangers (1), Baltimore Orioles (5)
Miami Marlins (2), Chicago Cubs (3)
St. Louis Cardinals (5), Cincinnati Reds (7)
Minnesota Twins (10), Cleveland Indians (6)
Los Angeles Dodgers (3), Colorado Rockies (7)
Chicago White Sox (5), Detroit Tigers (11)
Toronto Blue Jays (2), Houston Astros (1)
New York Yankees (1), New York Mets (7)
San Francisco Giants (8), Philadelphia Phillies (13)
Milwaukee Brewers (3), San Diego Padres (2)
Boston Red Sox (4), Seattle Mariners (5)
Kansas City Royals (3), Tampa Bay Rays (2)
Oakland Athletics (6), LA Angels of Anaheim (8)
Washington Nationals (8), Arizona D'Backs (3)
Pittsburgh Pirates (4), Atlanta Braves (8)
Texas Rangers (2), Baltimore Orioles (3)
Miami Marlins (4), Chicago Cubs (5)
St. Louis Cardinals (5), Cincinnati Reds (4)
Minnesota Twins (13), Cleveland Indians (5)
Los Angeles Dodgers (2), Colorado Rockies (12)
Chicago White Sox (1), Detroit Tigers (2)
Toronto Blue Jays (3), Houston Astros (1)
New York Mets (5), New York Yankees (9)
San Francisco Giants (4), Philadelphia Phillies (5)
Milwaukee Brewers (3), San Diego Padres (12)
Boston Red Sox (1), Seattle Mariners (3)
Kansas City Royals (0), Tampa Bay Rays (12)
Oakland Athletics (8), LA Angels of Anaheim (6)
Pittsburgh Pirates (2), Atlanta Braves (5)
Texas Rangers (5), Baltimore Orioles (3)
St. Louis Cardinals (0), Cincinnati Reds (7)
Minnesota Twins (2), Cleveland Indians (9)
Los Angeles Dodgers (4), Colorado Rockies (2)
Chicago White Sox (6), Detroit Tigers (3)
Toronto Blue Jays (4), Houston Astros (1)
New York Mets (4), New York Yankees (1)
San Francisco Giants (3), Philadelphia Phillies (2)
Boston Red Sox (3), Seattle Mariners (2)
Kansas City Royals (2), Tampa Bay Rays (3)
Milwaukee Brewers (2), Arizona D'Backs (3)
Baltimore Orioles (7), Chicago White Sox (5)
Miami Marlins (5), Colorado Rockies (3)
New York Mets (3), Detroit Tigers (4)
Texas Rangers (0), Houston Astros (5)
Toronto Blue Jays (4), Kansas City Royals (3)
Boston Red Sox (9), Los Angeles Dodgers (0)
Cleveland Indians (7), New York Yankees (13)
Chicago Cubs (7), Oakland Athletics (2)
Cincinnati Reds (2), Pittsburgh Pirates (3)
Philadelphia Phillies (5), San Diego Padres (4)
LA Angels of Anaheim (4), Seattle Mariners (6)
Atlanta Braves (0), St. Louis Cardinals (1)
Minnesota Twins (6), Tampa Bay Rays (2)
San Francisco Giants (1), Washington Nationals (5)
Milwaukee Brewers (15), Arizona D'Backs (6)
Baltimore Orioles (2), Chicago White Sox (4)
Miami Marlins (6), Colorado Rockies (12)
New York Mets (5), Detroit Tigers (6)
Texas Rangers (3), Houston Astros (2)
Toronto Blue Jays (2), Kansas City Royals (4)
Boston Red Sox (0), Los Angeles Dodgers (3)
Cleveland Indians (5), New York Yankees (2)
Chicago Cubs (4), Oakland Athletics (0)
Cincinnati Reds (3), Pittsburgh Pirates (5)
Philadelphia Phillies (7), San Diego Padres (9)
LA Angels of Anaheim (6), Seattle Mariners (8)
Atlanta Braves (13), St. Louis Cardinals (5)
Minnesota Twins (3), Tampa Bay Rays (7)
San Francisco Giants (7), Washington Nationals (1)
Milwaukee Brewers (3), Arizona D'Backs (9)
Baltimore Orioles (10), Chicago White Sox (2)
Miami Marlins (10), Colorado Rockies (7)
New York Mets (3), Detroit Tigers (1)
Texas Rangers (5), Houston Astros (3)
Toronto Blue Jays (1), Kansas City Royals (7)
Boston Red Sox (5), Los Angeles Dodgers (8)
Cleveland Indians (2), New York Yankees (3)
Chicago Cubs (3), Oakland Athletics (1)
Cincinnati Reds (7), Pittsburgh Pirates (3)
Philadelphia Phillies (6), San Diego Padres (5)
LA Angels of Anaheim (1), Seattle Mariners (3)
Atlanta Braves (6), St. Louis Cardinals (3)
Minnesota Twins (6), Tampa Bay Rays (3)
San Francisco Giants (0), Washington Nationals (1)
Texas Rangers (4), Colorado Rockies (3)
Philadelphia Phillies (4), Los Angeles Dodgers (9)
San Francisco Giants (8), Miami Marlins (7)
Atlanta Braves (4), Milwaukee Brewers (3)
Houston Astros (1), Minnesota Twins (3)
Baltimore Orioles (2), Oakland Athletics (3)
Detroit Tigers (0), Seattle Mariners (3)
Cincinnati Reds (4), St. Louis Cardinals (5)
Tampa Bay Rays (5), Toronto Blue Jays (7)
New York Yankees (3), Boston Red Sox (5)
LA Angels of Anaheim (1), Chicago Cubs (5)
Texas Rangers (7), Colorado Rockies (5)
Chicago White Sox (7), Kansas City Royals (5)
Philadelphia Phillies (3), Los Angeles Dodgers (9)
San Francisco Giants (0), Miami Marlins (2)
Atlanta Braves (2), Milwaukee Brewers (1)
Houston Astros (7), Minnesota Twins (5)
Arizona D'Backs (5), New York Mets (3)
Baltimore Orioles (1), Oakland Athletics (2)
San Diego Padres (4), Pittsburgh Pirates (6)
Detroit Tigers (5), Seattle Mariners (6)
Cincinnati Reds (7), St. Louis Cardinals (4)
Tampa Bay Rays (9), Toronto Blue Jays (2)
Cleveland Indians (3), Washington Nationals (1)
New York Yankees (9), Boston Red Sox (4)
LA Angels of Anaheim (1), Chicago Cubs (3)
Chicago White Sox (2), Kansas City Royals (3)
Philadelphia Phillies (6), Los Angeles Dodgers (2)
San Francisco Giants (1), Miami Marlins (0)
Atlanta Braves (3), Milwaukee Brewers (4)
Arizona D'Backs (3), New York Mets (2)
Baltimore Orioles (0), Oakland Athletics (1)
San Diego Padres (4), Pittsburgh Pirates (0)
Detroit Tigers (1), Seattle Mariners (3)
Cincinnati Reds (2), St. Louis Cardinals (3)
Colorado Rockies (4), Texas Rangers (5)
Tampa Bay Rays (0), Toronto Blue Jays (7)
Cleveland Indians (4), Washington Nationals (7)
New York Yankees (4), Boston Red Sox (2)
St. Louis Cardinals (3), Chicago Cubs (4)
LA Angels of Anaheim (4), Cleveland Indians (14)
Chicago White Sox (1), Kansas City Royals (2)
Atlanta Braves (3), Milwaukee Brewers (11)
Houston Astros (15), Minnesota Twins (7)
Houston Astros (10), Minnesota Twins (2)
Arizona D'Backs (9), New York Mets (0)
Baltimore Orioles (9), Oakland Athletics (6)
San Diego Padres (0), Pittsburgh Pirates (4)
Colorado Rockies (12), Texas Rangers (9)
Arizona D'Backs (4), Boston Red Sox (9)
St. Louis Cardinals (2), Chicago Cubs (13)
LA Angels of Anaheim (3), Cleveland Indians (13)
Pittsburgh Pirates (5), Los Angeles Dodgers (1)
Chicago White Sox (4), Miami Marlins (2)
Cincinnati Reds (7), Milwaukee Brewers (4)
Kansas City Royals (7), Minnesota Twins (3)
Tampa Bay Rays (3), New York Yankees (6)
San Diego Padres (8), New York Mets (6)
Seattle Mariners (3), Oakland Athletics (6)
Colorado Rockies (6), Philadelphia Phillies (10)
Baltimore Orioles (5), San Francisco Giants (2)
Detroit Tigers (5), Texas Rangers (8)
Houston Astros (5), Toronto Blue Jays (3)
Atlanta Braves (8), Washington Nationals (5)
Arizona D'Backs (3), Boston Red Sox (6)
St. Louis Cardinals (8), Chicago Cubs (4)
LA Angels of Anaheim (1), Cleveland Indians (5)
Pittsburgh Pirates (4), Los Angeles Dodgers (8)
Chicago White Sox (8), Miami Marlins (7)
Cincinnati Reds (11), Milwaukee Brewers (5)
Kansas City Royals (3), Minnesota Twins (5)
Tampa Bay Rays (4), New York Yankees (8)
San Diego Padres (2), New York Mets (3)
Seattle Mariners (4), Oakland Athletics (3)
Colorado Rockies (3), Philadelphia Phillies (6)
Baltimore Orioles (2), San Francisco Giants (6)
Detroit Tigers (2), Texas Rangers (0)
Houston Astros (2), Toronto Blue Jays (4)
Atlanta Braves (6), Washington Nationals (7)
Arizona D'Backs (2), Boston Red Sox (16)
St. Louis Cardinals (6), Chicago Cubs (4)
LA Angels of Anaheim (4), Cleveland Indians (5)
Pittsburgh Pirates (11), Los Angeles Dodgers (3)
Chicago White Sox (4), Miami Marlins (5)
Cincinnati Reds (3), Milwaukee Brewers (7)
Kansas City Royals (11), Minnesota Twins (4)
Tampa Bay Rays (12), New York Yankees (3)
San Diego Padres (1), New York Mets (5)
Seattle Mariners (8), Oakland Athletics (4)
Colorado Rockies (6), Philadelphia Phillies (7)
Baltimore Orioles (8), San Francisco Giants (7)
Detroit Tigers (7), Texas Rangers (0)
Houston Astros (2), Toronto Blue Jays (9)
Atlanta Braves (1), Washington Nationals (9)
Seattle Mariners (3), LA Angels of Anaheim (2)
New York Mets (6), Arizona D'Backs (10)
Miami Marlins (6), Cincinnati Reds (3)
Boston Red Sox (3), Cleveland Indians (2)
Washington Nationals (5), Colorado Rockies (4)
Kansas City Royals (3), Detroit Tigers (1)
Toronto Blue Jays (0), New York Yankees (1)
Pittsburgh Pirates (8), San Francisco Giants (5)
San Diego Padres (2), Tampa Bay Rays (8)
Oakland Athletics (2), Texas Rangers (5)
Seattle Mariners (6), LA Angels of Anaheim (7)
New York Mets (7), Arizona D'Backs (5)
Minnesota Twins (4), Atlanta Braves (2)
